               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.03305,            0.013395,          0.00022463,             0.68785,             0.67176,              0.6787,              0.3713,            0.042163,           0.0063347,          0.00018301,            0.008119,            0.008119,            0.008119
                  59,            0.033986,            0.013492,          0.00020559,             0.70285,             0.61069,              0.6687,             0.36255,             0.04257,           0.0064791,          0.00016502,            0.008086,            0.008086,            0.008086
                  60,            0.033178,            0.013038,           0.0002212,             0.67272,             0.61979,             0.63843,             0.33691,            0.042843,           0.0065109,           0.0001924,            0.008053,            0.008053,            0.008053
                  61,            0.032887,            0.013019,          0.00021113,             0.73337,             0.57739,             0.65049,             0.35998,            0.042868,           0.0067005,          0.00016208,             0.00802,             0.00802,             0.00802
                  62,            0.033428,            0.013207,          0.00020523,             0.72544,             0.63534,             0.68349,             0.36814,            0.042504,           0.0064523,          0.00017903,            0.007987,            0.007987,            0.007987
                  63,            0.032675,            0.013312,          0.00022555,             0.75479,             0.66031,             0.70588,             0.38277,            0.042793,           0.0064154,          0.00017236,            0.007954,            0.007954,            0.007954
                  64,            0.033388,            0.013255,          0.00020749,             0.73439,             0.62262,             0.68053,             0.37851,            0.042596,           0.0064208,          0.00016369,            0.007921,            0.007921,            0.007921
                  65,            0.032219,            0.013118,          0.00020705,             0.68322,             0.65857,               0.659,             0.38063,            0.042849,           0.0064177,          0.00017525,            0.007888,            0.007888,            0.007888
                  66,            0.032327,            0.013249,          0.00020301,             0.72649,             0.64122,             0.67773,             0.38149,            0.042359,           0.0064341,          0.00016862,            0.007855,            0.007855,            0.007855
                  67,            0.032455,            0.012848,          0.00019861,             0.70141,             0.60968,              0.6668,             0.38139,            0.042343,           0.0064718,            0.000166,            0.007822,            0.007822,            0.007822
                  68,            0.032483,            0.013053,          0.00020931,              0.7319,             0.58351,             0.66511,             0.35743,            0.042354,           0.0065074,          0.00017063,            0.007789,            0.007789,            0.007789
                  69,            0.032079,            0.013075,           0.0002015,             0.71496,             0.65102,             0.67705,             0.38037,            0.042264,            0.006429,          0.00015576,            0.007756,            0.007756,            0.007756
                  70,            0.032469,            0.013598,          0.00018514,             0.69775,             0.65267,             0.66766,             0.36956,            0.044194,           0.0062983,          0.00015414,            0.007723,            0.007723,            0.007723
                  71,            0.032143,            0.013042,          0.00018929,             0.71876,              0.6438,              0.6723,             0.37732,            0.042882,           0.0064415,          0.00015137,             0.00769,             0.00769,             0.00769
                  72,            0.032279,            0.013296,           0.0001875,             0.73267,             0.60672,             0.68158,             0.37903,            0.041678,           0.0063501,          0.00015923,            0.007657,            0.007657,            0.007657
                  73,            0.032585,            0.012975,          0.00017966,              0.7464,             0.57252,             0.66229,             0.37105,            0.042591,           0.0063047,          0.00015543,            0.007624,            0.007624,            0.007624
                  74,             0.03193,            0.013102,           0.0001832,             0.75322,             0.62595,             0.67815,             0.38096,            0.042966,           0.0063252,          0.00014381,            0.007591,            0.007591,            0.007591
                  75,             0.03162,            0.012654,          0.00017411,             0.73114,             0.66412,             0.67044,             0.36684,            0.042576,            0.006403,          0.00014361,            0.007558,            0.007558,            0.007558
                  76,            0.031852,             0.01253,          0.00017714,             0.70481,             0.67557,             0.67367,             0.38813,            0.041522,           0.0062248,          0.00014686,            0.007525,            0.007525,            0.007525
                  77,            0.031711,            0.012799,          0.00018698,             0.73488,              0.6242,             0.67731,             0.38912,            0.041553,           0.0062516,          0.00014467,            0.007492,            0.007492,            0.007492
                  78,            0.031141,            0.012865,          0.00017563,             0.69808,              0.6707,             0.68282,             0.37834,            0.040866,           0.0063289,          0.00014179,            0.007459,            0.007459,            0.007459
                  79,            0.031534,            0.012866,          0.00019366,             0.66618,             0.68702,             0.68128,             0.37047,            0.041932,            0.006298,          0.00015804,            0.007426,            0.007426,            0.007426
                  80,            0.030892,            0.012908,          0.00019808,             0.68741,             0.61069,             0.65229,             0.36895,             0.04317,           0.0065403,           0.0001474,            0.007393,            0.007393,            0.007393
                  81,              0.0315,            0.012956,          0.00018472,             0.77821,             0.65621,             0.69073,             0.37603,            0.042408,           0.0063389,          0.00014978,             0.00736,             0.00736,             0.00736
                  82,            0.030492,            0.012324,          0.00019342,             0.71452,             0.64961,             0.68508,              0.3645,            0.042095,           0.0063995,          0.00014627,            0.007327,            0.007327,            0.007327
                  83,            0.030814,            0.012463,          0.00018472,              0.7009,             0.70229,             0.70123,             0.38942,            0.042297,           0.0064599,          0.00014607,            0.007294,            0.007294,            0.007294
                  84,            0.030681,            0.012749,          0.00018129,             0.62205,             0.60687,             0.61883,             0.33591,            0.043378,           0.0068377,          0.00013578,            0.007261,            0.007261,            0.007261
                  85,            0.030699,            0.012696,          0.00017434,             0.69699,             0.64122,             0.66143,             0.37128,            0.043241,           0.0066814,          0.00014624,            0.007228,            0.007228,            0.007228
                  86,            0.030299,            0.012646,          0.00019243,             0.73605,             0.62214,             0.68109,             0.36881,            0.041891,            0.006337,           0.0001434,            0.007195,            0.007195,            0.007195
                  87,            0.030206,            0.012821,          0.00015945,             0.70018,             0.61832,             0.67297,             0.36959,            0.041975,           0.0063902,          0.00013092,            0.007162,            0.007162,            0.007162
                  88,            0.029722,            0.012963,          0.00015952,             0.66508,             0.70992,             0.70138,              0.3892,            0.042431,           0.0062004,          0.00012815,            0.007129,            0.007129,            0.007129
                  89,            0.029664,            0.012538,          0.00016629,             0.71953,             0.66031,             0.70272,             0.38347,             0.04265,           0.0063076,          0.00012591,            0.007096,            0.007096,            0.007096
                  90,            0.030091,            0.012396,          0.00017783,             0.67227,             0.66412,              0.6776,             0.36623,             0.04304,           0.0065025,          0.00013716,            0.007063,            0.007063,            0.007063
                  91,              0.0297,            0.012275,          0.00016834,             0.70113,             0.69084,             0.70282,             0.38643,            0.041739,           0.0063261,           0.0001226,             0.00703,             0.00703,             0.00703
                  92,            0.030806,            0.012283,          0.00017141,             0.69542,             0.65649,             0.67641,             0.37553,            0.041674,           0.0064216,          0.00013031,            0.006997,            0.006997,            0.006997
                  93,            0.029957,            0.012257,          0.00017317,             0.66743,             0.68702,             0.66573,             0.38168,            0.041946,            0.006589,          0.00012944,            0.006964,            0.006964,            0.006964
                  94,            0.030435,            0.012459,          0.00018187,             0.74406,             0.62214,             0.66616,             0.38102,            0.041582,           0.0064056,          0.00014648,            0.006931,            0.006931,            0.006931
                  95,            0.028582,            0.012298,          0.00016709,             0.73222,             0.63666,             0.67366,             0.38388,            0.043027,            0.006661,          0.00012448,            0.006898,            0.006898,            0.006898
                  96,            0.029704,              0.0124,          0.00016013,             0.68334,             0.65267,             0.65942,             0.37754,            0.042293,           0.0063955,          0.00012196,            0.006865,            0.006865,            0.006865
                  97,            0.028856,            0.012443,          0.00016057,             0.70591,             0.66031,             0.68727,             0.38416,             0.04185,           0.0066641,          0.00011845,            0.006832,            0.006832,            0.006832
                  98,             0.02911,            0.012698,          0.00016071,             0.71798,             0.64504,             0.68831,             0.38249,             0.04157,           0.0064216,          0.00011991,            0.006799,            0.006799,            0.006799
                  99,            0.028839,             0.01192,           0.0001525,             0.70149,             0.66794,             0.67895,              0.3881,               0.042,           0.0063748,          0.00011302,            0.006766,            0.006766,            0.006766
                 100,             0.02945,            0.012212,          0.00015524,             0.75124,             0.60687,             0.66949,             0.37255,             0.04279,           0.0065848,          0.00012383,            0.006733,            0.006733,            0.006733
                 101,            0.029411,            0.011868,          0.00016891,             0.72737,             0.66794,             0.69373,             0.38877,            0.042203,           0.0065066,          0.00013169,              0.0067,              0.0067,              0.0067
                 102,            0.029269,            0.012381,          0.00015175,             0.74951,             0.64885,             0.67799,             0.37275,            0.043081,            0.006703,          0.00012484,            0.006667,            0.006667,            0.006667
                 103,            0.029425,            0.012061,            0.000151,             0.74775,             0.66753,              0.6961,             0.37599,            0.043482,           0.0066893,          0.00012476,            0.006634,            0.006634,            0.006634
                 104,            0.028968,            0.012453,          0.00016073,             0.72821,             0.65649,             0.64615,              0.3622,            0.043051,           0.0066195,          0.00012035,            0.006601,            0.006601,            0.006601
                 105,            0.028255,            0.012048,          0.00016504,             0.69592,             0.60687,             0.63991,             0.35893,            0.042895,           0.0066753,          0.00012421,            0.006568,            0.006568,            0.006568
                 106,            0.028576,             0.01222,          0.00015679,             0.76086,             0.64122,             0.67459,             0.38253,            0.043085,            0.006623,          0.00011522,            0.006535,            0.006535,            0.006535
                 107,            0.028742,            0.012331,          0.00015528,             0.69915,             0.66794,             0.68268,             0.38344,            0.041589,           0.0065324,          0.00011433,            0.006502,            0.006502,            0.006502
                 108,            0.028848,            0.011963,          0.00014992,             0.73681,             0.61069,             0.67551,             0.37442,            0.042522,           0.0065978,          0.00010943,            0.006469,            0.006469,            0.006469
                 109,            0.028267,            0.011827,            0.000145,             0.69009,             0.68844,             0.69297,             0.39821,            0.041334,           0.0064288,          0.00011693,            0.006436,            0.006436,            0.006436
                 110,            0.028509,             0.01176,          0.00015504,             0.73963,              0.6374,             0.69129,             0.39498,            0.041444,           0.0063489,           0.0001197,            0.006403,            0.006403,            0.006403
                 111,            0.028657,            0.011793,          0.00014921,             0.71017,             0.66794,             0.67523,             0.37634,            0.041832,           0.0062981,           0.0001195,             0.00637,             0.00637,             0.00637
                 112,            0.028052,            0.011868,          0.00014016,             0.75428,             0.64122,             0.68093,              0.3832,            0.041985,           0.0064515,          0.00010798,            0.006337,            0.006337,            0.006337
                 113,            0.027899,            0.011809,          0.00014318,             0.72826,             0.68536,             0.71005,             0.40197,            0.041506,           0.0063426,          0.00011168,            0.006304,            0.006304,            0.006304
                 114,            0.027456,            0.011795,          0.00013512,             0.72163,             0.67176,             0.70222,             0.40102,            0.042064,           0.0064503,          0.00010988,            0.006271,            0.006271,            0.006271
                 115,            0.027413,            0.011519,          0.00014505,             0.78798,             0.62977,             0.69089,             0.40958,             0.04276,           0.0063214,          0.00010912,            0.006238,            0.006238,            0.006238
                 116,            0.027744,            0.011392,          0.00014756,             0.67609,             0.68515,             0.66611,             0.38051,            0.043174,           0.0065433,          0.00011063,            0.006205,            0.006205,            0.006205
                 117,            0.028486,            0.011575,           0.0001431,             0.74666,             0.66031,             0.67825,              0.3621,            0.043065,           0.0067104,          0.00011473,            0.006172,            0.006172,            0.006172
                 118,            0.027744,             0.01177,          0.00013554,             0.72566,             0.64885,             0.66854,             0.38255,            0.042626,           0.0066631,          0.00011407,            0.006139,            0.006139,            0.006139
                 119,            0.027892,            0.011602,          0.00014614,             0.72225,             0.62977,             0.67622,             0.38425,            0.042044,           0.0064507,          0.00011674,            0.006106,            0.006106,            0.006106
                 120,            0.027349,            0.011713,          0.00013946,             0.70468,             0.66031,             0.65817,             0.37909,             0.04144,           0.0067161,          0.00010475,            0.006073,            0.006073,            0.006073
                 121,            0.027511,            0.011685,          0.00013157,             0.69404,             0.67939,             0.69519,             0.40796,            0.042166,            0.006354,          0.00010904,             0.00604,             0.00604,             0.00604
                 122,            0.026967,            0.011477,          0.00012917,             0.72108,             0.65267,             0.69119,             0.39477,            0.042282,            0.006459,          0.00010514,            0.006007,            0.006007,            0.006007
                 123,            0.026983,            0.011402,          0.00013125,             0.72574,             0.64885,             0.66618,             0.37129,            0.043196,           0.0063886,          0.00011026,            0.005974,            0.005974,            0.005974
                 124,            0.027577,            0.011321,           0.0001403,             0.66763,             0.62101,             0.66519,             0.37138,            0.043574,           0.0065847,          0.00010833,            0.005941,            0.005941,            0.005941
                 125,            0.027774,             0.01143,          0.00013429,             0.68801,             0.68702,             0.69646,             0.38892,            0.043455,           0.0064376,          0.00011106,            0.005908,            0.005908,            0.005908
                 126,            0.027212,            0.011462,           0.0001307,             0.78438,             0.63869,             0.69383,             0.37998,            0.042353,           0.0066459,          0.00010303,            0.005875,            0.005875,            0.005875
                 127,            0.027583,            0.011611,          0.00012697,             0.74675,              0.6145,             0.68101,             0.38255,            0.042718,           0.0068479,           0.0001001,            0.005842,            0.005842,            0.005842
                 128,            0.027385,            0.011575,          0.00013185,             0.75394,             0.61832,             0.68118,             0.37617,            0.042425,           0.0065514,          0.00011029,            0.005809,            0.005809,            0.005809
                 129,            0.027443,            0.011621,          0.00012861,             0.71201,             0.65113,             0.69614,             0.37859,            0.042903,           0.0064856,          9.9313e-05,            0.005776,            0.005776,            0.005776
                 130,            0.026555,            0.011487,          0.00012145,             0.69329,             0.68321,             0.69799,             0.39006,            0.041715,           0.0064407,          9.7589e-05,            0.005743,            0.005743,            0.005743
                 131,             0.02647,            0.011456,           0.0001288,             0.70884,             0.68702,             0.69222,             0.39024,            0.042297,           0.0064722,          0.00010088,             0.00571,             0.00571,             0.00571
                 132,            0.026065,            0.011253,          0.00012422,             0.73474,             0.65649,              0.7088,              0.3985,            0.042436,           0.0064018,          9.4078e-05,            0.005677,            0.005677,            0.005677
                 133,            0.026627,            0.010711,          0.00012837,             0.73948,             0.69337,             0.71488,             0.40243,            0.042199,           0.0064349,          0.00010484,            0.005644,            0.005644,            0.005644
                 134,            0.026482,            0.010844,           0.0001239,             0.72192,             0.67176,             0.69349,             0.38906,            0.042758,           0.0063973,          0.00010174,            0.005611,            0.005611,            0.005611
                 135,            0.026655,            0.011403,          0.00012747,             0.69837,             0.64885,             0.67599,              0.3758,             0.04283,           0.0064915,          9.8783e-05,            0.005578,            0.005578,            0.005578
                 136,            0.025828,            0.010843,          0.00013191,             0.75787,             0.68321,             0.70224,             0.39291,            0.042035,            0.006389,          0.00010467,            0.005545,            0.005545,            0.005545
                 137,            0.026586,            0.010959,          0.00013156,              0.6774,             0.68927,             0.68765,             0.37979,            0.043294,           0.0067339,          9.8259e-05,            0.005512,            0.005512,            0.005512
                 138,            0.026158,            0.010966,          0.00012121,              0.6767,             0.68321,             0.67662,             0.39919,            0.042043,           0.0066832,           9.678e-05,            0.005479,            0.005479,            0.005479
                 139,            0.026134,            0.011276,          0.00012242,             0.69591,              0.6145,             0.65634,             0.39118,            0.042834,           0.0067565,          9.6057e-05,            0.005446,            0.005446,            0.005446
                 140,            0.025922,            0.010754,          0.00011807,             0.69182,             0.67939,             0.68631,             0.39763,            0.042783,           0.0065308,          9.7584e-05,            0.005413,            0.005413,            0.005413
                 141,            0.025595,            0.011233,          0.00011501,             0.73945,             0.66412,             0.69569,             0.40087,             0.04268,           0.0065081,          9.0654e-05,             0.00538,             0.00538,             0.00538
